seed,target,regime,candidates,critical_events,collisions,critical_rate,all_source_safe_target_failures
20280917,idm_mobil,gap_q1,80,52,44,0.65,5
20280917,idm_mobil,gap_q2,80,15,12,0.1875,0
20280917,idm_mobil,gap_q3,80,1,0,0.0125,0
20280917,idm_mobil,gap_q4,80,0,0,0.0,0
20280917,idm_mobil,all,320,68,56,0.2125,5
20280917,mcts_cv,gap_q1,80,53,31,0.6625,5
20280917,mcts_cv,gap_q2,80,29,17,0.3625,7
20280917,mcts_cv,gap_q3,80,16,4,0.2,13
20280917,mcts_cv,gap_q4,80,7,2,0.0875,7
20280917,mcts_cv,all,320,105,54,0.328125,32
20280917,ppo_ece,gap_q1,80,37,14,0.4625,0
20280917,ppo_ece,gap_q2,80,14,0,0.175,0
20280917,ppo_ece,gap_q3,80,2,0,0.025,0
20280917,ppo_ece,gap_q4,80,0,0,0.0,0
20280917,ppo_ece,all,320,53,14,0.165625,0
20281001,idm_mobil,gap_q1,80,49,39,0.6125,2
20281001,idm_mobil,gap_q2,80,17,9,0.2125,1
20281001,idm_mobil,gap_q3,80,1,0,0.0125,0
20281001,idm_mobil,gap_q4,80,0,0,0.0,0
20281001,idm_mobil,all,320,67,48,0.209375,3
20281001,mcts_cv,gap_q1,80,53,33,0.6625,4
20281001,mcts_cv,gap_q2,80,28,13,0.35,9
20281001,mcts_cv,gap_q3,80,17,8,0.2125,14
20281001,mcts_cv,gap_q4,80,8,2,0.1,8
20281001,mcts_cv,all,320,106,56,0.33125,35
20281001,ppo_ece,gap_q1,80,41,15,0.5125,0
20281001,ppo_ece,gap_q2,80,13,0,0.1625,0
20281001,ppo_ece,gap_q3,80,2,0,0.025,0
20281001,ppo_ece,gap_q4,80,0,0,0.0,0
20281001,ppo_ece,all,320,56,15,0.175,0
20281015,idm_mobil,gap_q1,80,50,41,0.625,4
20281015,idm_mobil,gap_q2,80,15,10,0.1875,0
20281015,idm_mobil,gap_q3,80,2,1,0.025,0
20281015,idm_mobil,gap_q4,80,0,0,0.0,0
20281015,idm_mobil,all,320,67,52,0.209375,4
20281015,mcts_cv,gap_q1,80,51,35,0.6375,2
20281015,mcts_cv,gap_q2,80,31,16,0.3875,9
20281015,mcts_cv,gap_q3,80,17,4,0.2125,13
20281015,mcts_cv,gap_q4,80,6,2,0.075,6
20281015,mcts_cv,all,320,105,57,0.328125,30
20281015,ppo_ece,gap_q1,80,40,17,0.5,0
20281015,ppo_ece,gap_q2,80,15,0,0.1875,0
20281015,ppo_ece,gap_q3,80,2,0,0.025,0
20281015,ppo_ece,gap_q4,80,0,0,0.0,0
20281015,ppo_ece,all,320,57,17,0.178125,0
20281029,idm_mobil,gap_q1,80,51,40,0.6375,5
20281029,idm_mobil,gap_q2,80,17,8,0.2125,2
20281029,idm_mobil,gap_q3,80,3,1,0.0375,0
20281029,idm_mobil,gap_q4,80,0,0,0.0,0
20281029,idm_mobil,all,320,71,49,0.221875,7
20281029,mcts_cv,gap_q1,80,51,29,0.6375,4
20281029,mcts_cv,gap_q2,80,27,12,0.3375,9
20281029,mcts_cv,gap_q3,80,18,6,0.225,14
20281029,mcts_cv,gap_q4,80,7,1,0.0875,7
20281029,mcts_cv,all,320,103,48,0.321875,34
20281029,ppo_ece,gap_q1,80,39,13,0.4875,0
20281029,ppo_ece,gap_q2,80,13,0,0.1625,0
20281029,ppo_ece,gap_q3,80,2,0,0.025,0
20281029,ppo_ece,gap_q4,80,0,0,0.0,0
20281029,ppo_ece,all,320,54,13,0.16875,0
20281112,idm_mobil,gap_q1,80,48,39,0.6,3
20281112,idm_mobil,gap_q2,80,16,11,0.2,1
20281112,idm_mobil,gap_q3,80,3,0,0.0375,1
20281112,idm_mobil,gap_q4,80,0,0,0.0,0
20281112,idm_mobil,all,320,67,50,0.209375,5
20281112,mcts_cv,gap_q1,80,52,33,0.65,5
20281112,mcts_cv,gap_q2,80,31,16,0.3875,11
20281112,mcts_cv,gap_q3,80,16,5,0.2,13
20281112,mcts_cv,gap_q4,80,3,1,0.0375,3
20281112,mcts_cv,all,320,102,55,0.31875,32
20281112,ppo_ece,gap_q1,80,37,16,0.4625,0
20281112,ppo_ece,gap_q2,80,13,0,0.1625,0
20281112,ppo_ece,gap_q3,80,1,0,0.0125,0
20281112,ppo_ece,gap_q4,80,0,0,0.0,0
20281112,ppo_ece,all,320,51,16,0.159375,0
